transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
HB,M,2010,1,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,1,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,1,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,2,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,2,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,2,H,2013,3,dormant,25,NA,1,0,0,9,192,excl
HB,M,2010,4,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,4,M,2013,3,dormant,25,NA,1,0,0,5,165,keep
HB,M,2010,4,H,2013,3,dormant,25,NA,2,2,1,6.5,173.5,keep
HB,M,2010,5,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,5,M,2013,3,dormant,25,NA,1,0,0,2,155,keep
HB,M,2010,6,L,2013,3,dormant,25,NA,1,1,0,NA,165,keep
HB,M,2010,6,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
HB,M,2010,6,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
HB,M,2011,11,H,2013,2,dormant,25,17,3,2,1,2.333333333,155,keep
HB,M,2011,12,M,2013,2,dormant,25,14,2,0,0,2.5,155,excl
HB,M,2011,12,H,2013,2,dormant,25,18,1,0,0,3,155,keep
HB,M,2011,13,M,2013,2,dormant,25,20,2,1,0,2,155,excl
HB,M,2011,13,H,2013,2,dormant,25,17,2,0,0,2.5,155,excl
HB,M,2011,14,M,2013,2,dormant,25,15,2,1,0,7,188,excl
HB,M,2011,15,L,2013,2,dormant,25,12,4,1,0,4.75,173.5,keep
HB,M,2011,15,H,2013,2,dormant,25,24,2,0,0,2.5,160,keep
HB,M,2011,16,M,2013,2,dormant,25,19,2,1,0,2.5,155,excl
HB,M,2011,16,H,2013,2,dormant,25,22,0,NA,NA,NA,NA,keep
HB,M,2011,17,L,2013,2,dormant,25,24,2,1,0,2.5,155,excl
HB,M,2011,17,H,2013,2,dormant,25,25,3,0,0,3,161.6666667,keep
HB,M,2011,18,M,2013,2,dormant,25,24,3,0,0,4.666666667,167.3333333,keep
HB,M,2011,18,H,2013,2,dormant,25,25,1,0,0,3,155,excl
HB,M,2011,19,L,2013,2,dormant,25,19,1,0,0,2,155,keep
HB,M,2011,20,M,2013,2,dormant,25,23,4,0,0,2.25,157.5,keep
HB,M,2011,20,H,2013,2,dormant,25,23,2,0,0,2,160,keep
HB,M,2011,21,M,2013,2,dormant,25,21,1,0,0,2,155,keep
HB,M,2011,21,H,2013,2,dormant,25,25,9,0,0,2.111111111,155,keep
HB,M,2011,22,M,2013,2,dormant,25,24,4,0,0,4.25,164.25,excl
HB,M,2011,22,H,2013,2,dormant,25,24,4,0,0,4.25,173.5,keep
HB,M,2011,23,L,2013,2,dormant,25,23,3,0,0,2.333333333,155,excl
HB,M,2011,23,M,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
HB,M,2011,23,H,2013,2,dormant,25,24,0,NA,NA,NA,NA,keep
HB,M,2011,24,M,2013,2,dormant,25,22,0,NA,NA,NA,NA,excl
HB,M,2011,24,H,2013,2,dormant,25,22,1,0,0,3,155,keep
HB,M,2011,26,M,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
HB,M,2011,26,H,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
HB,M,2011,27,H,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
HB,M,2011,28,M,2013,2,dormant,25,23,0,NA,NA,NA,NA,keep
HB,M,2011,28,H,2013,2,dormant,25,24,2,0,0,2,155,keep
HB,M,2012,31,L,2014,2,dormant,25,10,0,NA,NA,NA,NA,keep
HB,M,2012,31,M,2014,2,dormant,25,10,0,NA,NA,NA,NA,keep
HB,M,2012,31,H,2014,2,dormant,25,7,1,1,NA,4,175,keep
HB,M,2012,32,L,2014,2,dormant,25,16,0,NA,NA,NA,NA,keep
HB,M,2012,32,M,2014,2,dormant,25,19,0,NA,NA,NA,NA,keep
HB,M,2012,32,H,2014,2,dormant,25,21,1,0,0,8,175,keep
HB,M,2012,33,L,2014,2,dormant,25,21,4,1,0,15.25,202,keep
HB,M,2012,33,M,2014,2,dormant,25,22,1,0,0,8,175,keep
HB,M,2012,33,H,2014,2,dormant,25,22,1,0,0,8,175,keep
HB,M,2012,34,L,2014,2,dormant,25,23,2,0,0,6.5,175,keep
HB,M,2012,34,M,2014,2,dormant,25,23,0,NA,NA,NA,NA,keep
HB,M,2012,34,H,2014,2,dormant,25,22,2,2,0,10,188.5,keep
HB,H,2010,1,L,2012,2,dormant,25,19,2,1,0,7,247.5,keep
HB,H,2010,1,L,2013,3,dormant,25,17,3,1,0,4.333333333,199,keep
HB,H,2010,1,L,2014,4,dormant,25,14,0,NA,NA,NA,NA,keep
HB,H,2010,1,M,2012,2,dormant,25,25,4,4,3,12,239,keep
HB,H,2010,1,M,2013,3,dormant,25,21,5,3,0,5.4,199,excl
HB,H,2010,1,M,2014,4,dormant,25,16,0,NA,NA,NA,NA,excl
HB,H,2010,1,H,2012,2,dormant,25,20,3,3,3,10.66666667,239,keep
HB,H,2010,1,H,2013,3,dormant,25,17,1,1,1,5,199,excl
HB,H,2010,1,H,2014,4,dormant,25,16,0,NA,NA,NA,NA,excl
