year,transect,site,treat,plot,Source,plant,tbo,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,HB,A,TR,3,H,2.3,0,6,2,4,NA,8,7,HB.A.3,HB.A.3.H
2011,HB,H,TR,1,L,2.4,0,12,2,3.75,NA,8,1.5,HB.H.1,HB.H.1.L
2011,HB,H,TR,2,M,1.5,0,11,1,2,NA,2,0,HB.H.2,HB.H.2.M
2011,HB,H,TR,2,MT,3.5,0,9,3,2,NA,6,0,HB.H.2,HB.H.2.MT
2011,HB,H,TR,2,MT,5.2,0,8,3,8.2,NA,25,0,HB.H.2,HB.H.2.MT
2011,HB,H,TR,2,MT,5.3,0,10,2,8.5,NA,17,0,HB.H.2,HB.H.2.MT
2011,HB,H,TR,3,H,4.2,0,8,2,4.5,NA,9,0,HB.H.3,HB.H.3.H
2011,HB,H,TR,3,H,5.2,0,6,2,6.5,NA,13,0,HB.H.3,HB.H.3.H
2011,HB,H,TR,3,M,2.4,0,9,1,5,NA,5,0,HB.H.3,HB.H.3.M
2011,HB,H,TR,3,M,4.1,0,10,1,3,NA,3,0,HB.H.3,HB.H.3.M
2011,HB,H,TR,3,M,5.4,0,12,3,1.666666667,NA,5,0,HB.H.3,HB.H.3.M
2011,HB,H,TR,3,MT,5.4,0,6,1,6,NA,6,0,HB.H.3,HB.H.3.MT
2011,HB,H,TR,4,H,2.3,0,8,3,7.333333333,NA,22,0,HB.H.4,HB.H.4.H
2011,HB,H,TR,4,MT,3.1,0,9,6,8.6,NA,52,0,HB.H.4,HB.H.4.MT
2011,HB,H,TR,6,F,1.2,0,23,6,6.4,NA,38,18,HB.H.6,HB.H.6.F
2011,HB,H,TR,6,F,1.5,0,26,12,7,3,68,18.33333333,HB.H.6,HB.H.6.F
2011,HB,H,TR,6,F,2.2,0,11,2,8,NA,16,3,HB.H.6,HB.H.6.F
2011,HB,H,TR,6,F,2.5,0,11,4,2.5,NA,10,4,HB.H.6,HB.H.6.F
2011,HB,H,TR,6,F,3.2,0,12,6,3.6,NA,22,4.8,HB.H.6,HB.H.6.F
2011,HB,H,TR,6,H,1.1,0,8,3,6.666666667,NA,20,0,HB.H.6,HB.H.6.H
2011,HB,H,TR,6,H,5.5,0,11,8,7.333333333,NA,59,0,HB.H.6,HB.H.6.H
2011,HB,H,TR,6,M,1.2,0,11,4,4.5,NA,18,0,HB.H.6,HB.H.6.M
2011,HB,H,TR,6,M,1.4,0,11,3,4,NA,12,0,HB.H.6,HB.H.6.M
2011,HB,H,TR,6,M,2.5,0,16,7,5.857142857,NA,41,1,HB.H.6,HB.H.6.M
2011,HB,H,TR,6,M,3.4,0,14,4,5.5,NA,22,0,HB.H.6,HB.H.6.M
2011,HB,H,TR,6,M,5.1,0,16,2,11.5,NA,23,0,HB.H.6,HB.H.6.M
2011,HB,H,TR,6,MT,1.3,0,10,1,3,NA,3,0,HB.H.6,HB.H.6.MT
2011,HB,H,TR,7,F,1.2,0,31,14,9.6,1.75,95,0,HB.H.7,HB.H.7.F
2011,HB,H,TR,7,F,2.1,0,12,1,2,NA,2,0,HB.H.7,HB.H.7.F
2011,HB,H,TR,7,F,4.5,0,17,7,6.5,6,44,0,HB.H.7,HB.H.7.F
2011,HB,H,TR,7,MT,2.1,0,11,9,9.25,NA,83,2.25,HB.H.7,HB.H.7.MT
2011,HB,H,TR,7,MT,2.4,0,10,3,9.333333333,NA,28,0,HB.H.7,HB.H.7.MT
2011,HB,H,TR,7,MT,3.5,0,10,4,8.75,NA,35,0,HB.H.7,HB.H.7.MT
2011,HB,H,TR,7,MT,4.2,0,9,5,8.333333333,NA,42,3.333333333,HB.H.7,HB.H.7.MT
2011,HB,H,TR,8,H,4.3,0,8,1,8,NA,8,0,HB.H.8,HB.H.8.H
2011,HB,H,TR,8,H,5.4,0,8,1,8,NA,8,0,HB.H.8,HB.H.8.H
