transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,L,2010,1,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,1,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,1,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,2,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,2,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,3,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,3,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,4,L,2013,3,dormant,25,NA,1,1,0,10,196,keep
NK,L,2010,4,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,4,H,2013,3,dormant,25,NA,1,1,0,3,164,keep
NK,L,2010,5,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,5,M,2013,3,dormant,25,NA,1,1,0,2,156,excl
NK,L,2010,5,H,2013,3,dormant,25,NA,2,2,1,5.5,187,keep
NK,L,2010,6,L,2013,3,dormant,25,NA,2,2,1,12,196,excl
NK,L,2010,6,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,6,H,2013,3,dormant,25,NA,1,0,0,7,178,excl
NK,L,2010,7,L,2013,3,dormant,25,NA,1,1,1,2,156,keep
NK,L,2010,7,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,8,L,2013,3,dormant,25,NA,1,0,0,3,156,excl
NK,L,2010,8,M,2013,3,dormant,25,NA,2,0,0,4,160,excl
NK,L,2010,8,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,9,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,9,L,2014,4,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,9,M,2013,3,dormant,25,NA,1,0,0,4,170,keep
NK,L,2010,9,M,2014,4,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,9,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,9,H,2014,4,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,10,L,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,10,L,2014,4,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,10,M,2013,3,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,10,M,2014,4,dormant,25,NA,0,NA,NA,NA,NA,excl
NK,L,2010,10,H,2013,3,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2010,10,H,2014,4,dormant,25,NA,0,NA,NA,NA,NA,keep
NK,L,2011,11,L,2013,2,dormant,25,24,8,3,3,2.5,159.5,keep
NK,L,2011,11,L,2014,3,dormant,25,16,3,3,3,4,161,keep
NK,L,2011,11,M,2013,2,dormant,25,25,1,0,0,2,178,keep
NK,L,2011,11,M,2014,3,dormant,25,24,1,1,0,4,161,keep
NK,L,2011,11,H,2013,2,dormant,25,25,0,NA,NA,NA,NA,keep
NK,L,2011,11,H,2014,3,dormant,25,25,2,1,1,4,181,keep
NK,L,2011,12,L,2013,2,dormant,25,23,2,0,0,2,156,keep
NK,L,2011,12,L,2014,3,dormant,25,21,0,NA,NA,NA,NA,keep
