transect,site,d.snowpack.10.11,wTmin.10.11,Dec.FebTav.10.11,d.grows.11,GDD.grows.11,GDD.yr.11,avmaxminTJuly.11,avTJuly.11,d.snowpack.11.12,wTmin.11.12,Dec.FebTav.11.12,d.grows.12,GDD.grows.12,GDD.yr.12,avmaxminTJuly.12,avTJuly.12,d.snowpack.12.13,wTmin.12.13,Dec.FebTav.12.13,d.grows.13,GDD.grows.13,GDD.yr.13,avmaxminTJuly.13,avTJuly.13,d.snowpack.13.14,wTmin.13.14,Dec.FebTav.13.14
NK,L,182,-8.6,-2,121,975,1117,18.4,15.8,162,-12.9,-2.5,138,1006,1174,19.4,17.4,188,-7.4,-1.6,137,.,.,.,.,186,-8,-1.2
NK,M,143,-11.5,-5.3,134,934,936,19.1,16.8,.,-8.15,.,.,.,.,16.1,14.6,145,-8,-5.4,159,760,760,16.1,14.7,196,-8.5,-2.9
NK,E,103,-15,-8.7,124,762,762,15.6,12.9,120,-13.4,-7.6,107,704,808,17,14.9,140,-8.5,-5.4,123,601,604,14.3,13.2,128,-20,-8.2
NK,A1,229,-5.2,-1.8,55,396,480,10.9,8.2,279,-4.7,-7.6,67,.,.,.,.,256,-2,-0.7,91,409,409,11.7,10,283,-2.5,-0.1
NK,A2,87,-14,-6.6,67,361,443,11,9.2,88,-16.1,-7.6,68,386,513,13.1,12,154,-8.6,-5.1,92,370,381,11.3,9.4,.,.,.
HB,L,151,-2.6,-0.9,188,1079,1083,18.7,17.3,110,-9.5,-2.8,197,1156,1164,19,18.1,107,-12.6,-4.6,186,1134,1613,18.2,17.16,142,-0.5,0.18
HB,M,182,-5.1,-1.4,120,1018,1180,18.2,15.4,162,-8.5,-2.1,111,935,1315,18.7,16.1,184,-6,-2.3,141,993,1154,17.9,15.6,192,-4.9,-0.6
HB,H,204,-7.3,-2.6,116,851,878,16.7,13.1,174,-10.8,-4.3,125,793,831,17.1,14.6,211,-8.5,-2.8,118,685,713,15.3,14,203,-11.6,-3.1
HB,E,202,-8.5,-1.7,105,671,671,16.3,13.1,221,-10.8,-2,102,485,660,16.5,13.9,249,-8.2,-2.1,110,550,576,15.4,13.5,253,-2.6,-0.2
HB,A,25,-22.3,-11.6,91,612,697,14,10.7,.,.,.,.,378,461,12.4,11.4,51,-17.7,-11.3,111,491,532,13.3,12.2,60,-17.7,-10
