year,transect,site,treat,plot,Source,plant,tbo,height.cm,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,NK,HE,TR,1,F,1.3,0,14.5,26,13,7.833333333,3.8,82,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,1.4,0,10,13,4,9.25,NA,37,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,2.5,0,7,9,3,7.333333333,NA,22,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,3.4,0,15.4,29,7,13.8,NA,97,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,3.5,0,7.5,17,3,8,NA,24,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,4.4,0,11.1,17,4,8.25,NA,33,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,5.4,0,15.3,13,7,9,4.5,63,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,5.4,0,15.2,42,8,9,4.5,72,0,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,F,5.5,0,10.3,32,9,5.111111111,NA,46,2,NK.HE.1,HE.1.F
2011,NK,HE,TR,1,H,1.3,0,7.2,9,3,8,NA,24,0,NK.HE.1,HE.1.H
2011,NK,HE,TR,1,H,3.2,0,8,10,2,10.5,NA,21,0,NK.HE.1,HE.1.H
2011,NK,HE,TR,1,H,3.3,0,6.2,7,2,5,NA,10,6,NK.HE.1,HE.1.H
2011,NK,HE,TR,1,H,4.5,0,6.7,10,2,6,NA,12,0,NK.HE.1,HE.1.H
2011,NK,HE,TR,1,HE,1.3,0,16.4,10,5,6.8,NA,34,0,NK.HE.1,HE.1.HE
2011,NK,HE,TR,1,HE,3.1,0,18.6,10,5,9.75,NA,49,0,NK.HE.1,HE.1.HE
2011,NK,HE,TR,1,HE,3.2,0,17.4,13,5,9.333333333,NA,47,1.666666667,NK.HE.1,HE.1.HE
2011,NK,HE,TR,1,HE,3.5,0,16,12,5,9.333333333,NA,47,0,NK.HE.1,HE.1.HE
2011,NK,HE,TR,1,HE,5.3,0,10.2,9,3,6,NA,18,1,NK.HE.1,HE.1.HE
2011,NK,HE,TR,1,HE,5.4,0,13.5,8,3,9.666666667,NA,29,0,NK.HE.1,HE.1.HE
2011,NK,HE,TR,1,L,1.2,0,9.1,12,3,8.333333333,NA,25,0,NK.HE.1,HE.1.L
2011,NK,HE,TR,1,L,2.3,0,10.4,13,2,8.5,NA,17,0,NK.HE.1,HE.1.L
2011,NK,HE,TR,1,L,2.5,0,11.1,15,5,9.666666667,NA,48,6.666666667,NK.HE.1,HE.1.L
2011,NK,HE,TR,1,L,4.5,0,6.8,10,3,0.666666667,NA,2,0,NK.HE.1,HE.1.L
2011,NK,HE,TR,1,L,5.1,0,8.3,12,2,7.5,NA,15,0,NK.HE.1,HE.1.L
2011,NK,HE,TR,1,L,5.5,0,7.1,13,3,9,NA,27,0,NK.HE.1,HE.1.L
2011,NK,HE,TR,1,MT,2.5,0,8.4,9,6,9,NA,54,0,NK.HE.1,HE.1.MT
2011,NK,HE,TR,1,MT,3.4,0,5.8,8,3,9.333333333,NA,28,1,NK.HE.1,HE.1.MT
2011,NK,HE,TR,1,MT,3.5,0,5.5,7,3,7.666666667,NA,23,0,NK.HE.1,HE.1.MT
2011,NK,HE,TR,1,MT,4.3,0,8,9,4,8,NA,32,0,NK.HE.1,HE.1.MT
2011,NK,HE,TR,1,MT,5.5,0,5.5,6,2,4,NA,8,0,NK.HE.1,HE.1.MT
2011,NK,HE,TR,10,F,1.3,0,14,13,4,8.5,NA,34,0,NK.HE.10,HE.10.F
2011,NK,HE,TR,10,F,1.5,0,12.3,17,3,9.666666667,NA,29,0,NK.HE.10,HE.10.F
2011,NK,HE,TR,10,F,4.4,0,14.8,23,7,10.25,1,53,1.25,NK.HE.10,HE.10.F
2011,NK,HE,TR,10,H,3.3,0,11.5,8,2,10,NA,20,0,NK.HE.10,HE.10.H
2011,NK,HE,TR,10,HE,2.1,0,10.7,8,3,7,NA,21,0,NK.HE.10,HE.10.HE
2011,NK,HE,TR,10,HE,4.1,0,15,11,4,7.5,NA,30,0,NK.HE.10,HE.10.HE
2011,NK,HE,TR,10,HE,4.5,0,NA,9,6,12,NA,72,0,NK.HE.10,HE.10.HE
2011,NK,HE,TR,10,HE,5.1,0,15.5,12,3,11.33333333,NA,34,0,NK.HE.10,HE.10.HE
2011,NK,HE,TR,10,L,1.5,0,11.1,10,2,13,NA,26,0,NK.HE.10,HE.10.L
2011,NK,HE,TR,10,L,2.1,0,13.7,16,2,14,NA,28,0,NK.HE.10,HE.10.L
2011,NK,HE,TR,10,M,5.2,0,14.7,11,4,12.75,NA,51,1,NK.HE.10,HE.10.M
2011,NK,HE,TR,10,MT,4.2,0,7.4,10,3,9,NA,27,0,NK.HE.10,HE.10.MT
2011,NK,HE,TR,10,MT,4.4,0,NA,9,5,9,NA,45,0,NK.HE.10,HE.10.MT
2011,NK,HE,TR,10,MT,5.1,1,NA,18,2,NA,12,24,0,NK.HE.10,HE.10.MT
2011,NK,HE,TR,2,F,2.3,0,9,22,3,6.333333333,NA,19,0,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,F,3.3,0,9.4,17,3,9.333333333,NA,28,0,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,F,4.2,0,6.5,10,1,9,NA,9,0,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,F,4.4,0,14.3,11,5,8,NA,40,3.75,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,F,4.5,0,12.9,11,4,10.66666667,NA,43,0,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,F,5.1,0,15.3,18,3,15.33333333,NA,46,0,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,F,5.5,0,10.6,17,4,8.75,NA,35,0,NK.HE.2,HE.2.F
2011,NK,HE,TR,2,H,1.2,0,8.5,8,2,6.5,NA,13,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,1.3,0,10.7,10,3,7.333333333,NA,22,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,2.2,0,13.7,9,6,8.666666667,NA,52,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,2.4,0,7.9,8,1,3,NA,3,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,2.5,0,9.3,10,2,7.5,NA,15,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,3.2,0,12.1,9,3,3.666666667,NA,11,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,3.3,0,9.9,9,2,9.5,NA,19,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,5.3,0,7.5,9,1,11,NA,11,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,H,5.4,0,9.6,9,3,11.66666667,NA,35,0,NK.HE.2,HE.2.H
2011,NK,HE,TR,2,HE,2.5,0,20.7,19,6,12.83333333,NA,77,0,NK.HE.2,HE.2.HE
2011,NK,HE,TR,2,HE,5.1,0,9.8,10,2,12,NA,24,0,NK.HE.2,HE.2.HE
2011,NK,HE,TR,2,L,1.5,0,16.6,11,5,12.33333333,NA,62,0,NK.HE.2,HE.2.L
2011,NK,HE,TR,2,M,1.2,0,8.5,16,2,3,NA,6,0,NK.HE.2,HE.2.M
2011,NK,HE,TR,2,M,4.1,0,9.8,10,3,9.666666667,NA,29,0,NK.HE.2,HE.2.M
2011,NK,HE,TR,2,M,4.5,0,16.2,10,6,8.25,NA,50,0,NK.HE.2,HE.2.M
2011,NK,HE,TR,2,MT,2.1,0,11.2,9,5,11.66666667,NA,58,0,NK.HE.2,HE.2.MT
2011,NK,HE,TR,2,MT,2.2,0,13.3,11,10,10.16666667,NA,102,0,NK.HE.2,HE.2.MT
2011,NK,HE,TR,2,MT,3.4,0,7.1,7,3,9.666666667,NA,29,0,NK.HE.2,HE.2.MT
2011,NK,HE,TR,2,MT,3.5,0,10,8,4,13.25,NA,53,0,NK.HE.2,HE.2.MT
2011,NK,HE,TR,2,MT,4.2,0,11.9,19,1,12,NA,12,0,NK.HE.2,HE.2.MT
2011,NK,HE,TR,2,MT,5.5,0,12,13,6,11.33333333,NA,68,2,NK.HE.2,HE.2.MT
2011,NK,HE,TR,3,F,2.1,0,12.8,16,2,12,NA,24,0,NK.HE.3,HE.3.F
2011,NK,HE,TR,3,F,4.3,0,5.4,9,2,5,NA,10,0,NK.HE.3,HE.3.F
2011,NK,HE,TR,3,F,5.4,0,13.7,17,6,9.75,NA,58,0,NK.HE.3,HE.3.F
2011,NK,HE,TR,3,H,2.3,0,8.5,9,3,7.666666667,NA,23,0,NK.HE.3,HE.3.H
2011,NK,HE,TR,3,H,5.1,0,8,8,4,7.666666667,NA,31,1.333333333,NK.HE.3,HE.3.H
2011,NK,HE,TR,3,H,5.3,0,9.3,9,4,8,NA,32,0,NK.HE.3,HE.3.H
2011,NK,HE,TR,3,HE,1.1,0,12,17,3,10.33333333,NA,31,0,NK.HE.3,HE.3.HE
2011,NK,HE,TR,3,HE,1.4,0,11.1,9,2,8,NA,16,0,NK.HE.3,HE.3.HE
2011,NK,HE,TR,3,HE,2.1,0,13.7,10,6,11,NA,66,0,NK.HE.3,HE.3.HE
2011,NK,HE,TR,3,HE,3.3,0,6.7,7,2,4.5,NA,9,0,NK.HE.3,HE.3.HE
2011,NK,HE,TR,3,L,1.5,0,11.8,12,6,15.66666667,NA,94,0,NK.HE.3,HE.3.L
