"","transect","year","site","Source","plot","treat","Jday","visit","plant","tbo","Ln1","Ln2","Ln3","Fr1","Flwr1","B1","Fr2","Flwr2","B2","failF","final.fate","DEm.est","DEm.estplotav","D1stFlw.ob","D1stFlw.est","D1stSp.ob","day.perLnplotav","subplotID","plotID"
"1","NK",2011,"L","L",1,"TR",178,1,3.2,NA,3,"",NA,NA,0,NA,NA,NA,NA,NA,"new",158,167,NA,NA,NA,3.79,"NK.L.1.L","NK.L.1"
"2","NK",2011,"L","L",1,"TR",188,2,3.2,NA,5,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.79,"NK.L.1.L","NK.L.1"
"3","NK",2011,"L","L",1,"TR",196,3,3.2,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.79,"NK.L.1.L","NK.L.1"
"4","NK",2011,"L","L",1,"TR",202,4,3.2,1,6,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,NA,NA,NA,3.79,"NK.L.1.L","NK.L.1"
"5","NK",2011,"L","L",1,"TR",209,5,3.2,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,3.79,"NK.L.1.L","NK.L.1"
"6","NK",2011,"L","L",1,"TR",178,1,4.2,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,"new",141,151,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"7","NK",2011,"L","L",1,"TR",188,2,4.2,NA,8,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"8","NK",2011,"L","L",1,"TR",196,3,4.2,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"9","NK",2011,"L","L",1,"TR",202,4,4.2,NA,13,"2",NA,NA,0,2,NA,NA,NA,NA,".",NA,NA,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"10","NK",2011,"L","L",1,"TR",209,5,4.2,NA,NA,"",NA,NA,2,2,NA,NA,NA,NA,".",NA,NA,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"11","NK",2011,"L","L",1,"TR",213,6,4.2,NA,NA,"",NA,NA,0,NA,NA,NA,NA,NA,".",NA,NA,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"12","NK",2011,"L","L",1,"TR",216,7,4.2,1,8,"",NA,NA,0,NA,NA,NA,NA,NA,"1",NA,NA,209,208.5,NA,3.79,"NK.L.1.L","NK.L.1"
"13","NK",2011,"L","M",1,"TR",178,1,5.4,NA,7,"",NA,NA,0,NA,NA,NA,NA,NA,"new",151,151,196,195,202,3.79,"NK.L.1.M","NK.L.1"
"14","NK",2011,"L","M",1,"TR",196,2,5.4,NA,NA,"",NA,NA,3,5,NA,NA,NA,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.M","NK.L.1"
"15","NK",2011,"L","M",1,"TR",202,3,5.4,NA,11,"22",NA,2,4,NA,NA,NA,7,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.M","NK.L.1"
"16","NK",2011,"L","M",1,"TR",209,4,5.4,NA,NA,"",NA,9,0,NA,NA,8,5,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.M","NK.L.1"
"17","NK",2011,"L","M",1,"TR",213,5,5.4,NA,NA,"",NA,8,0,NA,7,6,1,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.M","NK.L.1"
"18","NK",2011,"L","M",1,"TR",216,6,5.4,NA,11,"21",NA,NA,0,NA,8,1,1,NA,".",NA,NA,196,195,202,3.79,"NK.L.1.M","NK.L.1"
"19","NK",2011,"L","M",1,"TR",226,7,5.4,NA,13,"20",NA,8,0,NA,14,NA,NA,NA,"1",NA,NA,196,195,202,3.79,"NK.L.1.M","NK.L.1"
